62,23
60,65
61,25
60,25
60,38
59,30
59,35
59,02
58,65
58,86
58,15
59,37
59,56
58,37
58,39
58,77
58,76
58,83
57,99
58,07
58,99
56,39
58,61
58,05
57,01
56,52
57,91
57,83
57,27
56,93
56,94
58,21
56,31
56,83
56,34
54,77
54,58
55,18
52,75
53,64
54,48
54,14
52,99
53,56
53,92
53,06
39,65
40,76
52,85
44,61
40,79
40,57
40,52
52,88
40,05
43,87
40,12
51,98
40,39
40,76
39,71
44,15
40,40
51,82
40,51
43,69
44,19
51,20
42,69
45,45
40,32
39,78
42,49
44,84
41,50
42,87
42,54
45,23
40,88
41,63
41,33
43,84
42,42
42,04
41,06
41,86
42,74
41,31
43,71
44,03
42,75
42,55
41,25
41,52
42,18
42,66
42,80
43,24
40,92
41,88
43,19
43,38
44,22
43,76
43,14
43,58
42,89
44,07
40,75
44,21
50,07
45,01
44,15
43,72
43,13
46,01
52,83
43,37
51,44
45,01
52,68
43,55
44,56
44,79
42,22
45,88
45,95
47,01
44,18
45,65
44,17
52,97
52,20
48,22
47,48
31,74
53,42
52,83
49,30
51,79
49,64
